Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,Price_Range,MA_7,MA_30,MA_90,Volatility_30,Volume_MA_30,Day_of_Week,Month,Quarter,Year,Close_Diff
86.105713,87.092857,85.915718,86.071426,74.377708,161010500,-0.5709845053859741,-0.005726208537495481,1.1771389999999968,72.98220485714286,66.287387,,1.4563706542951942,178265383.33333334,2,3,1,2012,-0.4271240000000063
85.397141,86.35714,85.075714,85.620003,73.98761,155967700,-0.5244824161561912,-0.005258626533633549,1.2814259999999962,73.533142,66.79212726666667,,1.4687221189552633,180065223.33333334,3,3,1,2012,-0.3900979999999947
85.784286,85.971428,84.914284,85.150002,73.581444,107622200,-0.5489648874994035,-0.005504772371230158,1.057144000000008,73.64723957142857,67.2154717,,1.3968039803968957,176284173.33333334,4,3,1,2012,-0.4061659999999989
85.684288,86.735718,85.03714,86.711426,74.930763,148935500,1.8337761895512505,0.01817165277955664,1.698578000000012,74.02499371428573,67.68276573333334,,1.4086199934483363,175987840.0,0,3,1,2012,1.3493189999999942
86.597145,88.040001,86.580002,87.78286,75.856613,151782400,1.2356073299293557,0.012280360066454603,1.4599990000000105,74.53483457142856,68.14314616666667,,1.3954629841159658,176737120.0,1,3,1,2012,0.925849999999997
88.339996,88.778572,87.187141,88.23143,76.244255,163865100,0.5110193886457948,0.0050971811585603655,1.591431,74.826175,68.58821946666667,,1.3897404994941036,178362636.66666666,2,3,1,2012,0.3876419999999996
87.540001,88.080002,86.747147,87.122856,75.286285,152059600,-1.2564487645659206,-0.012644088284226916,1.332854999999995,74.894954,69.04987563333334,,1.3237116772325794,170880290.0,3,3,1,2012,-0.9579699999999889
86.96714,87.222855,85.419998,85.650002,74.013542,182759500,-1.6905376590171883,-0.01704990364076518,1.8028569999999888,74.84293028571429,69.45042596666667,,1.392062148401332,169101006.66666666,4,3,1,2012,-1.2727430000000055
85.975716,88.395714,85.76857,88.375717,76.368927,149587900,3.1823703289325156,0.031327822320236856,2.6271440000000013,75.18311842857143,69.9298584,,1.4637300926714631,169622226.66666666,0,4,2,2012,2.3553849999999983
89.614288,90.315712,88.93,89.902855,77.688583,208639900,1.728001232752674,0.01713241085842629,1.385711999999998,75.76985257142857,70.40089629999999,,1.4361461156303763,171530263.33333334,1,4,2,2012,1.3196559999999948
89.192856,89.408569,88.14286,89.187141,77.070114,143245200,-0.7960873736105989,-0.00799273067679128,1.265709000000001,76.07547414285715,70.85876626666666,,1.4494031763090873,172277583.33333334,2,4,2,2012,-0.6184689999999904
89.568573,90.665718,89.057144,90.525711,78.22683,160324500,1.5008619294373915,0.014897104373333869,1.6085740000000044,76.41407657142857,71.34140876666667,,1.4573746413555848,172888170.0,3,4,2,2012,1.156716000000003
